Epoch;Validation loss;Validation norm;Validation cost;Validation normalized distance;Time;Train loss
62;0,5699367940124679;0,0;0,0;0,0;102539,7874827385;0,5572016144899397
63;0,5727517970583592;0,0;0,0;0,0;103829,73069906235;0,558567037465533
64;0,5716261724480411;0,0;0,0;0,0;105112,47716760635;0,5595513331197997
65;0,574445773480505;0,0;0,0;0,0;106398,05177593231;0,5624823047576217
66;0,5800706690760459;0,0;0,0;0,0;107683,91737484932;0,5590205320020012
67;0,5741273199367977;0,0;0,0;0,0;108968,38642859459;0,5591668809579714
68;0,5683136668921658;0,0;0,0;0,0;110251,99630188942;0,5600281880440445
69;0,5741184374900745;0,0;0,0;0,0;111536,75946640968;0,5586874588359583
70;0,5689745465613306;0,0;0,0;0,0;112819,31707978249;0,5593135477644084
71;0,5712961702786264;0,0;0,0;0,0;114100,77893567085;0,5585087156916028
72;0,5716628729544482;0,0;0,0;0,0;115382,88742184639;0,558195815530374
73;0,576267820115035;0,0;0,0;0,0;116667,06995010376;0,5644906118020491
74;0,5712660672989518;0,0;0,0;0,0;117948,69848322868;0,5588252884974032
75;0,5690461134519148;0,0;0,0;0,0;119230,4036514759;0,5583210429129413
76;0,5710188584646759;0,0;0,0;0,0;120513,72802853584;0,5590737639987832
77;0,5800785380932991;0,0;0,0;0,0;121795,77547168732;0,5603262498350766
78;0,5716376102181384;0,0;0,0;0,0;123078,22567105293;0,5577979627051178
79;0,5725597396793957;0,0;0,0;0,0;124362,12904405594;0,5590748266425684
80;0,5782270637726514;0,0;0,0;0,0;125646,37475991249;0,5611281662820106
81;0,5716072576816608;0,0;0,0;0,0;126929,2595911026;0,5578604806545497
82;0,5766767842902054;0,0;0,0;0,0;128210,68022179604;0,5568451461415302
83;0,5683821461567964;0,0;0,0;0,0;129494,34512639046;0,5570035556870215
84;0,5722174086805523;0,0;0,0;0,0;130778,08512115479;0,5578928878483584
85;0,5732532973692852;0,0;0,0;0,0;132062,9868428707;0,5560636325233479
86;0,5776516327051167;0,0;0,0;0,0;133346,4317970276;0,5561540262102325
87;0,5699871761178712;0,0;0,0;0,0;134629,0504488945;0,5564894006601747
88;0,5691495365416144;0,0;0,0;0,0;135912,54183793068;0,556863206311077
89;0,57095247138329;0,0;0,0;0,0;137197,05361795425;0,5577851395089615
90;0,577391216625466;0,0;0,0;0,0;138482,53849720955;0,5597391622661031
91;0,5686577715054872;0,0;0,0;0,0;139766,71372580528;0,5568887549476121
92;0,5690703413853713;0,0;0,0;0,0;141051,94699454308;0,5566772648374442
93;0,5669918210066827;0,0;0,0;0,0;142333,90091729164;0,5577079447714357
94;0,5690322685422268;0,0;0,0;0,0;143617,22355556488;0,5553362968136665
95;0,5694192382271729;0,0;0,0;0,0;144902,3069484234;0,5573077732555304
96;0,5710375998357283;0,0;0,0;0,0;146187,32493305206;0,5555119613554272
97;0,5710159861529688;0,0;0,0;0,0;147470,98517274857;0,5556844642414206
98;0,5684228737396388;0,0;0,0;0,0;148755,68574738503;0,5572897141260392
99;0,5752043993485065;0,0;0,0;0,0;150039,45259714127;0,5556748819059981
