Epoch;Validation loss;Validation norm;Validation cost;Validation normalized distance;Time;Train loss
0;0,6309720466684814;0,0;0,0;0,0;766,3535828590393;0,7100533490556146
1;0,6099944660590604;0,0;0,0;0,0;1518,999606847763;0,6096324026017322
2;0,7376390495031808;0,0;0,0;0,0;2269,2316138744354;0,6251647123111989
3;0,5826475258335716;0,0;0,0;0,0;3036,2398324012756;0,6126339941233547
4;0,6200733962583455;0,0;0,0;0,0;3795,7026698589325;0,5894300426323402
5;0,5884522236232479;0,0;0,0;0,0;4574,237501382828;0,5823815032593944
6;0,5831234588133726;0,0;0,0;0,0;5361,256845712662;0,5813625453768043
7;0,579760707662008;0,0;0,0;0,0;6133,6031675338745;0,5795340228844718
8;0,5704380740907521;0,0;0,0;0,0;6886,298891782761;0,575240012570308
9;0,5694380652328784;0,0;0,0;0,0;7662,00520157814;0,5730779275846511
10;0,5698011470757584;0,0;0,0;0,0;8461,6224899292;0,5719208818798894
11;0,5706902497705332;0,0;0,0;0,0;9250,722530841827;0,5704412174500941
12;0,5716487271510591;0,0;0,0;0,0;10030,564084529877;0,5729380618156817
13;0,5742579374078063;0,0;0,0;0,0;10827,370228528976;0,5910700698227144
14;0,583278864311418;0,0;0,0;0,0;11618,54138302803;0,5765094529402438
15;0,5771389783430545;0,0;0,0;0,0;12382,145033359528;0,5735586605928271
16;0,6035014498534248;0,0;0,0;0,0;13171,445179462433;0,5714538255659154
17;0,5751192745067994;0,0;0,0;0,0;13958,000643491745;0,5746527240153043
18;0,5786725704104843;0,0;0,0;0,0;15466,26121711731;0,5676858534062574
19;0,5839225632516625;0,0;0,0;0,0;16144,448229551315;0,5679757338641259
20;0,5755803324653225;0,0;0,0;0,0;16826,556983232498;0,5687807341233879
21;0,5809272945374402;0,0;0,0;0,0;17506,880846261978;0,566748525502945
22;0,5835630737918045;0,0;0,0;0,0;18186,620213508606;0,5687598229059713
23;0,5770185595052828;0,0;0,0;0,0;18864,87741470337;0,5726768459822169
24;0,5732134646071456;0,0;0,0;0,0;19549,01745033264;0,5720564350580353
25;0,5784215977544159;0,0;0,0;0,0;20226,958618164062;0,5667084866312101
26;0,5733225970253039;0,0;0,0;0,0;20909,124762773514;0,570922717764066
27;0,5695438050107037;0,0;0,0;0,0;21588,415954828262;0,5693299111054482
28;0,5673244702390153;0,0;0,0;0,0;22271,082910060883;0,566058497535547
29;0,5679841551813977;0,0;0,0;0,0;22948,226474285126;0,5660903916935328
30;0,5693078832039306;0,0;0,0;0,0;23625,721647262573;0,5649904374808526
31;0,5673073342801502;0,0;0,0;0,0;24300,894846200943;0,5641115393281588
32;0,5663002183038329;0,0;0,0;0,0;24981,413822174072;0,5641411570973959
33;0,5661291572630833;0,0;0,0;0,0;25659,472605228424;0,5631253466974508
34;0,5662516962848722;0,0;0,0;0,0;26339,10166144371;0,5632164236630886
35;0,5650076025512722;0,0;0,0;0,0;27014,42209458351;0,5621097962357823
36;0,56677548941033;0,0;0,0;0,0;27694,965138673782;0,5642871418164164
37;0,5663451252862064;0,0;0,0;0,0;28382,541088104248;0,562089413640841
38;0,5668405609750506;0,0;0,0;0,0;72329,16802072525;0,5639370075393904
39;0,5662991743195567;0,0;0,0;0,0;73038,89837956429;0,5624465457149569
40;0,5681043742882741;0,0;0,0;0,0;74665,35200214386;0,5602488765105378
41;0,5669203323095472;0,0;0,0;0,0;75342,58550000191;0,561216650001213
42;0,5731240805952957;0,0;0,0;0,0;76017,69768595695;0,5607995372549229
43;0,565778582836616;0,0;0,0;0,0;76692,37801408768;0,5638769710398643
44;0,5672952857131566;0,0;0,0;0,0;77452,65891385078;0,5612104364344613
45;0,570502910725372;0,0;0,0;0,0;78188,01012969017;0,5622139616023163
46;0,5697908710048197;0,0;0,0;0,0;78922,35515594482;0,5598287554032306
47;0,5705723380199322;0,0;0,0;0,0;79691,8938574791;0,5625285900902325
48;0,5726211697916528;0,0;0,0;0,0;80460,53665876389;0,5610864640776124
49;0,5678530427241222;0,0;0,0;0,0;81199,49277091026;0,56149090297974
50;0,5677959893387736;0,0;0,0;0,0;81960,7647755146;0,5636329221241365
51;0,572683251641588;0,0;0,0;0,0;83474,23177051544;0,5593750205193528
52;0,5730699151754057;0,0;0,0;0,0;84969,51462459564;0,562981491170937
53;0,5755627994434761;0,0;0,0;0,0;86670,43796253204;0,5603408876919959
54;0,5722973148780376;0,0;0,0;0,0;88264,77929258347;0,5618122786207853
55;0,5772534624644963;0,0;0,0;0,0;90234,86562418938;0,5624903309995752
56;0,5697125599841741;0,0;0,0;0,0;92004,28284716606;0,5610732269393006
57;0,5747980739582473;0,0;0,0;0,0;93765,04145312309;0,5596120249914941
58;0,5712577255085066;0,0;0,0;0,0;95541,92770981789;0,5595813305849956
59;0,5711529616153521;0,0;0,0;0,0;97289,71333837509;0,5593175272254018
60;0,5697032589502905;0,0;0,0;0,0;99064,30457925797;0,5608102138329127
61;0,5765360203957225;0,0;0,0;0,0;100838,87907934189;0,5640284061847907
